[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /videos                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /videos                   --> main.main.func2 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/03/16 - 15:05:40 | 200 |      1.5762ms |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:51 | 200 |       4.732ms |       127.0.0.1 | POST     "/videos"
[GIN] 2022/03/16 - 15:05:52 | 200 |            0s |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:52 | 200 |            0s |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:53 | 200 |            0s |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:53 | 200 |            0s |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:53 | 200 |      2.5166ms |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:53 | 200 |            0s |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:54 | 200 |       524.1µs |       127.0.0.1 | POST     "/videos"
[GIN] 2022/03/16 - 15:05:54 | 200 |            0s |       127.0.0.1 | POST     "/videos"
[GIN] 2022/03/16 - 15:05:54 | 200 |       230.8µs |       127.0.0.1 | POST     "/videos"
[GIN] 2022/03/16 - 15:05:55 | 200 |            0s |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:55 | 200 |            0s |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:55 | 200 |            0s |       127.0.0.1 | GET      "/videos"
[GIN] 2022/03/16 - 15:05:55 | 200 |            0s |       127.0.0.1 | GET      "/videos"
